id	url	title	factSummary	publishedAt	provenanceKind	provenanceOrigin	rightsBasis	repositoryUseApproved	containsPersonalData	containsCopiedArticleText
source-001	https://news.example.com/harbor/barrier-approved	Council approves harbor storm barrier	The city council approved funding for a harbor storm barrier on Tuesday.	2026-03-03T09:00:00.000Z	project-created-synthetic	null	project-created	true	false	false
source-002	https://daily.example.org/city/harbor-vote	Harbor barrier wins final council vote	A Tuesday council vote authorized the same city harbor barrier and its funding.	2026-03-03T09:20:00.000Z	project-created-synthetic	null	project-created	true	false	false
source-003	https://wire.example.net/energy/wind-contract	Coastal wind contract awarded	The regional authority awarded the North Shoal wind construction contract.	2026-03-05T07:30:00.000Z	project-created-synthetic	null	project-created	true	false	false
source-004	https://journal.example.com/business/north-shoal-award	Authority selects builder for North Shoal wind project	A builder was selected under the regional authority's North Shoal construction award.	2026-03-05T08:05:00.000Z	project-created-synthetic	null	project-created	true	false	false
source-005	https://metro.example.org/transit/line-opening	River line opens to passengers	The River light-rail line began passenger service after its opening ceremony.	2026-03-08T10:00:00.000Z	project-created-synthetic	null	project-created	true	false	false
source-006	https://metro.example.org/transit/line-extension-vote	River line extension receives planning vote	Two months later the planning board approved a separate extension of the River line.	2026-05-12T16:00:00.000Z	project-created-synthetic	null	project-created	true	false	false
source-007	https://science.example.com/lake/algae-study	Study maps algae in Lake Alder	Researchers published a survey of seasonal algae concentrations in Lake Alder.	2026-04-01T11:00:00.000Z	project-created-synthetic	null	project-created	true	false	false
source-008	https://civic.example.net/lake/water-rules	Lake Alder adopts new boating rules	The county adopted boating restrictions for Lake Alder after a public hearing.	2026-04-01T12:00:00.000Z	project-created-synthetic	null	project-created	true	false	false
source-009	https://sports.example.org/falcons/final	Falcons win cup final	The Harbor Falcons won the national cup final after extra time.	2026-04-10T20:00:00.000Z	project-created-synthetic	null	project-created	true	false	false
source-010	https://finance.example.com/markets/rate-decision	Central bank holds policy rate	The central bank kept its benchmark interest rate unchanged at its April meeting.	2026-04-10T20:10:00.000Z	project-created-synthetic	null	project-created	true	false	false
source-011	https://local.example.net/elections/mayor-result	Mayor says “we won” after certified result	Election officials certified the mayoral result and named the winning candidate.	2026-04-14T18:00:00.000Z	project-created-synthetic	null	project-created	true	false	false
source-012	https://world.example.org/sports/coach-quote	Coach says “we won” after semifinal	A football coach used the same phrase after the club advanced from a semifinal.	2026-04-14T18:05:00.000Z	project-created-synthetic	null	project-created	true	false	false
